replicate	UMAP_dim	cluster_num	tot_withinss	silhouette	gap_stat
9	2	4	197.7444188334799	0.551372045979154	0.3830517333944412
9	2	5	158.01847822059938	0.47050206393990956	0.3861141099073233
9	2	6	118.71503409274554	0.5020794983965251	0.37570097709465156
9	2	7	98.12736520527575	0.4357996813184395	0.3871416411252553
9	2	8	82.73346222737652	0.4333757086362886	0.3573348751891068
9	2	9	72.0857430282289	0.4320017746546793	0.41176749998605766
9	2	10	63.44891290609191	0.41416171858065504	0.41689501480233115
9	3	1	1811.9720689232308	NA	-0.028182769021032783
9	3	2	379.1010285582579	0.6822991166415331	0.26536181102212275
9	3	3	213.64880128970918	0.5751519759953513	0.16990565722720774
9	3	4	174.68028146697597	0.5177730716215532	0.3872914344567171
9	3	5	138.14711278961337	0.4962013834931177	0.3389761533854978
9	3	6	114.81021750541859	0.4602276599654305	0.43831013647175165
9	3	7	95.42995520998485	0.47089484686310595	0.45429879685481644
9	3	8	84.69832865457064	0.35567110894638887	0.48870257133977724
9	3	9	73.7414977746725	0.37596048365967727	0.5065866870966116
9	3	10	67.0259990559602	0.37347632634570616	0.3980281996177748
9	4	1	1531.2329789035946	NA	-0.024584258065747377
9	4	2	337.74416774237073	0.6679997794626523	0.2679484020229932
9	4	3	186.4440751246114	0.5558918037090371	0.40081366772397153
9	4	4	152.54382610121468	0.4778173901144251	0.39111651246060664
9	4	5	129.80202597155514	0.40597896170613174	0.3805542944559974
9	4	6	112.39060082244822	0.40656775011504376	0.45595348745859043
9	4	7	94.3422227298424	0.44188223982020813	0.4706284136663408
9	4	8	86.0484780150816	0.44405107190050647	0.4735307918936771
9	4	9	77.77137896036476	0.3983682111070276	0.43041734377045326
9	4	10	71.61501446327537	0.31491414701925224	0.45915019998551365
10	2	1	2186.5743114188012	NA	0.01294561330901356
10	2	2	558.5091837706356	0.6520610934431006	0.15583663874526454
10	2	3	215.8124123253013	0.6369568845560998	0.3669738341575206
10	2	4	159.9945145036852	0.5669161663109081	0.32642088456960305
10	2	5	133.1888223311787	0.40631972608232514	0.30378350401827525
10	2	6	110.14843441137761	0.4165338162423525	0.2512306820961072
10	2	7	92.31444665585605	0.40551854522927633	0.21189762932845913
10	2	8	76.31736419434692	0.409827582305954	0.34866210495568684
10	2	9	64.22782917201383	0.42091662156102044	0.3124559000391698
10	2	10	53.976618801244236	0.42952496392762896	0.3081124497716914
10	3	1	2117.1085481694977	NA	-0.07574663276907945
10	3	2	418.34035977007454	0.6908274554419229	0.14530192239642847
10	3	3	182.63517312210922	0.6238868123348712	0.27200965096020724
10	3	4	150.4249934744336	0.5186834098117359	0.21191532970941118
10	3	5	129.3789390002624	0.39626217408777475	0.19517232588138
10	3	6	112.27510156615897	0.4137959592270429	0.2520888482575958
10	3	7	97.63560652764363	0.333867288024343	0.21194134649328022
10	3	8	85.51191911484881	0.35107128574869234	0.2874241062905658
10	3	9	75.4089284042954	0.34878105725458586	0.3083687834385702
10	3	10	69.69593598105263	0.3564115421653642	0.24075714940371018
10	4	1	1445.8983848257756	NA	-0.013447215691964942
10	4	2	332.7516023549148	0.6626989983976932	0.26423227469084853
10	4	3	185.13964609159916	0.5547966767280266	0.3965200258814914
10	4	4	148.34561059315	0.4833361823806989	0.39299475924654637
10	4	5	125.43451682416024	0.4911330035394728	0.4374497503420307
10	4	6	105.95015904752486	0.41422436968334175	0.4686636282036134
10	4	7	89.40561652959161	0.43977419530369594	0.31982321027308114
10	4	8	81.48755169746819	0.3301733919775807	0.5045804221640902
10	4	9	75.7327280160045	0.32628549228331744	0.44149084450632436
10	4	10	68.66371087005717	0.33096297685209847	0.33488984541360445
11	2	1	2675.849963339783	NA	0.03497206144932985
11	2	2	696.3936135308517	0.6469820381209279	0.17231003052026583
11	2	3	267.39109586211544	0.6385191924607251	0.3729245071150942
11	2	4	189.01879455439476	0.5953630368991862	0.39215153771482925
11	2	5	139.76604347051844	0.5015953677574236	0.3843565413056016
11	2	6	115.1156723046873	0.5100256969530628	0.4462278733484095
11	2	7	96.31538766455277	0.4197140626165076	0.4326222153839141
11	2	8	80.16419979864014	0.40716490007712636	0.41232211289260423
11	2	9	65.52598860462285	0.42100860578489424	0.4683895054742946
11	2	10	58.3671077017583	0.4301714171625504	0.47206714282177087
11	3	1	1688.406031329704	NA	-0.056307794289234714
11	3	2	364.1989377764286	0.6725102605911268	0.17713976664571351
11	3	3	192.962021993238	0.5708586524180329	0.04557079359775695
11	3	4	159.58577025353628	0.4865381205318567	0.24869929690608483
11	3	5	135.0943452878428	0.4655334590825838	0.2626994067177666
11	3	6	111.32041410650329	0.5048602258801637	0.19372168739819617
11	3	7	92.59919855205169	0.4672393388983658	0.2828139115144115
11	3	8	81.45199162616963	0.3614953731769433	0.19346479739377642
11	3	9	72.50431633058066	0.36940222881250345	0.17340957185054107
11	3	10	65.29214291212853	0.3713843332817821	0.25977065770085206
11	4	1	1724.3022793167563	NA	-0.013995232490929155
11	4	2	364.3280483955528	0.6810805970110466	0.2598973289248043
11	4	3	188.94562842001548	0.5741565878822934	0.3936369692495374
11	4	4	141.38243668918528	0.5194038949518205	0.35699079668939593
11	4	5	118.95305131355649	0.4343140072459389	0.3616455600985429
11	4	6	104.3040700087101	0.41997633732031336	0.34168242418319483
11	4	7	93.83514791318753	0.42975971935776186	0.3277851602160995
11	4	8	83.71877454217201	0.3140909381638101	0.4438982865290755
11	4	9	73.59771942212272	0.3251257694324826	0.46042314433091613
11	4	10	67.89129333464224	0.33112060230493523	0.5061712944505943
12	2	1	2294.787207163169	NA	-0.05553721548475732
12	2	2	449.61700318737167	0.6956325158781071	0.17783721631846472
12	2	3	231.44555652777638	0.6023537733907116	0.2534963159715211
12	2	4	175.02647357720065	0.522887317804109	0.2120852542092333
12	2	5	140.9179293755134	0.542513094989385	0.19061722967679184
12	2	6	115.8191218106962	0.5016557601936169	0.151885062220817
12	2	7	96.2103510874518	0.40617012635239275	0.11039622065660959
12	2	8	80.18088233103384	0.416617992106444	0.294872710347331
12	2	9	69.09153045742116	0.42466464225807793	0.2747632096282895
12	2	10	62.4357179473904	0.4185084100810373	0.30409759760300714
12	3	1	2356.4293400337515	NA	-0.07474229432527668
12	3	2	386.08705055634834	0.7305896730909298	0.28033759995182006
12	3	3	197.6984447356811	0.6013900018070112	0.3986537672431254
12	3	4	154.63330675705842	0.5175825259983063	0.41710351652045397
12	3	5	130.89906367823409	0.4323879446799339	0.3403306171507152
12	3	6	107.36877380938348	0.46416313539776605	0.3416687269865424
12	3	7	94.40488954158369	0.35812208702496634	0.43412701317869073
12	3	8	79.61901389487662	0.36526021839416567	0.4795639312603668
12	3	9	72.70830589158622	0.3616939867468601	0.40674442013049905
12	3	10	65.30731271406236	0.36328547162924535	0.46697079964329147
12	4	1	1437.2326739354328	NA	-0.04063500020009325
12	4	2	321.78011330912625	0.6616443084968556	0.22652943531031067
12	4	3	189.04829054850367	0.5380031984304061	0.1436241134890066
12	4	4	155.0126348697196	0.46669291357822223	0.2981920150040631
12	4	5	131.16480456454644	0.4645505298512053	0.31483823302284897
12	4	6	110.87461862165146	0.4268874155291424	0.36644459543125985
12	4	7	92.19245480180487	0.45533602299839737	0.397767784778015
12	4	8	84.72400163155679	0.32240820036169215	0.3171253419072557
12	4	9	77.09732239782852	0.3231015291183292	0.4585195205365009
12	4	10	70.92385900176716	0.32715998012432934	0.2797265689522179
13	2	1	2996.292568382683	NA	-0.09616115243828904
